xmin,ymin,xmax,ymax,label,confidence
112,97,137,120,68,0.9380793571472168
201,3,225,25,33,0.6343322992324829
102,130,128,154,30,0.9718004465103149
0,0,0,0,0,-1.0
232,2,255,19,135,0.47876080870628357
19,60,42,85,97,0.9865822792053223
173,218,199,242,89,0.7673513293266296
38,17,64,43,86,0.9928668141365051
176,216,206,243,81,0.2766684591770172
112,97,136,120,68,0.5747532844543457
199,3,225,26,33,0.8047620058059692
102,130,128,154,30,0.9444177746772766
0,0,0,0,0,-1.0
233,1,254,18,145,0.2559643089771271
232,2,255,19,135,0.473219633102417
19,61,43,86,97,0.9855082035064697
173,218,199,242,89,0.7908489108085632
38,17,64,43,86,0.9920759797096252
113,96,136,121,68,0.6311274766921997
198,3,224,25,33,0.614961564540863
102,130,128,154,30,0.9754570126533508
0,0,0,0,0,-1.0
233,1,255,18,145,0.25893834233283997
233,2,255,19,135,0.4686172306537628
18,62,43,87,97,0.9755619764328003
173,219,199,243,89,0.4957030415534973
38,17,64,43,86,0.9919871687889099
190,211,217,238,79,0.3782598376274109
112,96,136,119,68,0.5085086822509766
197,2,224,25,33,0.9494178891181946
101,129,128,153,30,0.9831640124320984
0,0,0,0,0,-1.0
233,1,255,18,145,0.26738259196281433
232,2,255,19,135,0.47090303897857666
19,63,42,87,97,0.9888572096824646
173,219,199,243,89,0.699524998664856
38,17,64,43,86,0.9920210242271423
112,95,135,119,68,0.4300253987312317
197,2,223,24,33,0.8764380812644958
101,129,126,153,30,0.9808095693588257
0,0,0,0,0,-1.0
233,1,255,18,145,0.26286154985427856
232,2,255,19,135,0.4710244834423065
19,63,43,87,97,0.972855269908905
173,219,198,243,89,0.585172712802887
38,17,64,43,86,0.9922448396682739
110,95,135,119,68,0.675768256187439
196,2,221,25,33,0.9665322303771973
99,129,127,153,30,0.9795395731925964
0,0,0,0,0,-1.0
233,1,255,18,145,0.26281794905662537
233,2,255,19,135,0.48378247022628784
19,64,42,87,97,0.9663594961166382
173,220,199,244,89,0.8197100758552551
38,17,64,43,86,0.9917746186256409
192,211,217,236,79,0.342745304107666
110,95,135,118,68,0.6322922110557556
196,2,220,25,33,0.9191709160804749
99,128,125,153,30,0.9645537734031677
0,0,0,0,0,-1.0
232,2,255,19,135,0.48798367381095886
18,64,43,88,97,0.9867678880691528
173,220,199,244,89,0.7512461543083191
109,95,134,118,68,0.7077829241752625
193,2,224,26,33,0.6180840730667114
99,128,125,152,30,0.989045262336731
0,0,0,0,0,-1.0
36,15,69,44,148,0.3842132091522217
233,2,255,19,135,0.5191589593887329
193,2,224,27,123,0.43259161710739136
18,66,42,89,97,0.9679229259490967
173,220,199,244,89,0.9307400584220886
109,94,134,117,68,0.7875546216964722
193,2,224,27,33,0.9500585198402405
98,127,123,152,30,0.9816465377807617
0,0,0,0,0,-1.0
233,2,255,19,135,0.47117191553115845
18,66,43,89,97,0.9901688694953918
174,220,198,245,89,0.619265079498291
108,94,134,117,68,0.8338481783866882
37,16,70,45,62,0.5210386514663696
193,2,223,27,33,0.9843475222587585
98,128,123,151,30,0.9480118155479431
0,0,0,0,0,-1.0
233,1,255,18,145,0.255724161863327
233,2,255,20,135,0.44936591386795044
193,2,223,27,123,0.4218873679637909
